0,1,2,3,4,5,6,7,8,9,10
5404,New,York,Times,bestselling,author,NP1                 ,NP1                 ,NNT2                ,JJ                  ,NN1
5043,National,Highway,Traffic,Safety,Administration,JJ                  ,NN1                 ,NN1                 ,NN1                 ,NN1
4242,North,American,Free,Trade,Agreement,NP1                 ,JJ                  ,JJ                  ,NN1                 ,NN1
3589,two,birds,with,one,stone,MC                  ,NN2                 ,IW                  ,MC1                 ,NN1
3578,say,enough,good,things,about,VVI                 ,DD_RR               ,JJ                  ,NN2                 ,II
3103,Senate,Majority,Leader,Mitch,McConnell,NN1                 ,NN1                 ,NN1                 ,NP1                 ,NP1
2488,Individuals,with,Disabilities,Education,Act,NN2                 ,IW                  ,NN2                 ,NN1                 ,NN1
2390,matters,into,their,own,hands,NN2                 ,II                  ,APPGE               ,DA                  ,NN2
2263,internal,control,over,financial,reporting,JJ                  ,NN1                 ,II                  ,JJ                  ,NN1
2033,know,what,I 'm,talking,about,VV0                 ,DDQ                 ,VV0                 ,VVG                 ,II
2000,first,come,first,served,basis,MD                  ,VV0_VVN@            ,MD                  ,VVD_VVN             ,NN1
1956,enjoys,spending,time,with,his,VVZ                 ,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE
1883,those,who,lost,their,lives,DD2                 ,PNQS                ,VVD                 ,APPGE               ,NN2
1877,first,come,first,serve,basis,MD                  ,VV0_VVN@            ,MD                  ,VV0_NN1%            ,NN1
1792,New,York,Times,best-selling,author,NP1                 ,NP1                 ,NNT2                ,JJ                  ,NN1
1753,enjoys,spending,time,with,her,VVZ                 ,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE
1735,Great,Smoky,Mountains,National,Park,JJ                  ,NP1                 ,NNL2                ,JJ                  ,NN1
1728,matters,into,his,own,hands,NN2                 ,II                  ,APPGE               ,DA                  ,NN2
1726,come,up,with,their,own,VVI                 ,RP                  ,IW                  ,APPGE               ,DA
1704,Defense,Advanced,Research,Projects,Agency,NN1                 ,JJ_VVD_VVN          ,NN1                 ,NN2_VVZ@            ,NN1
1679,very,happy,with,my,purchase,RG                  ,JJ                  ,IW                  ,APPGE               ,NN1
1667,House,press,secretary,Sean,Spicer,NN1                 ,NN1_VV0             ,NN1                 ,NP1                 ,NP1
1659,British,Prime,Minister,Theresa,May,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1%_NPM1
1659,press,release,contains,forward-looking,statements,NN1                 ,NN1                 ,VVZ                 ,JJ                  ,NN2
1656,White,House,press,secretary,Sean,NP1                 ,NN1                 ,NN1_VV0             ,NN1                 ,NP1
1652,New,York,Times,Book,Review,NP1                 ,NP1                 ,NNT2                ,NN1                 ,NN1
1640,baking,sheet,with,parchment,paper,NN1_JJ@             ,NN1                 ,IW                  ,NN1                 ,NN1
1554,kill,two,birds,with,one,VVI                 ,MC                  ,NN2                 ,IW                  ,MC1
1550,comply,with,all,applicable,laws,VVI                 ,IW                  ,DB                  ,JJ                  ,NN2
1530,spending,time,with,my,family,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
1514,Japanese,Prime,Minister,Shinzo,Abe,JJ                  ,JJ                  ,NN1                 ,NP1_NN1             ,NP1
1497,all,other,things,being,equal,DB_RR@              ,JJ                  ,NN2                 ,VBG                 ,JJ
1476,Federal,Motor,Carrier,Safety,Administration,JJ                  ,NN1                 ,NN1                 ,NN1                 ,NN1
1441,Employee,Retirement,Income,Security,Act,NN1                 ,NN1                 ,NN1                 ,NN1                 ,NN1
1414,please,contact,our,customer,service,RR                  ,VV0                 ,APPGE               ,NN1                 ,NN1
1399,n't ,worry,too,much,about,XX                  ,VVI                 ,RG                  ,DA1_RR              ,II
1397,please,contact,our,Customer,Service,RR                  ,VV0                 ,APPGE               ,NN1                 ,NN1
1396,British,Prime,Minister,David,Cameron,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
1379,spending,time,with,his,family,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
1375,did,n't ,know,anything,about,VDD                 ,XX                  ,VVI                 ,PN1                 ,II
1366,any,time,without,prior,notice,DD                  ,NNT1                ,IW                  ,JJ                  ,NN1
1343,people,with,mental,health,problems,NN                  ,IW                  ,JJ                  ,NN1                 ,NN2
1338,former,FBI,Director,James,Comey,DA                  ,NP1                 ,NN1                 ,NP1                 ,NP1
1330,each,with,their,own,unique,DD1                 ,IW                  ,APPGE               ,DA                  ,JJ
1330,spending,time,with,her,family,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
1310,Payment,Card,Industry,Data,Security,NN1                 ,NN1                 ,NN1                 ,NN                  ,NN1
1307,combined,with,any,other,offer,VVN                 ,IW                  ,DD                  ,JJ                  ,NN1
1300,never,had,any,problems,with,RR                  ,VHN                 ,DD                  ,NN2                 ,IW
