me,pl,gen,per,cap,th,gno,ne,man,ten,cir,ad,ag,fu,hos,in,on,of,es
to measure,to fill,give birth,forward,to grasp,this,to know,not,hand,to stretch,to turn,near,to drive,to pour,stranger,in,unique,away,to be, 
centimeter,accomplish,congenial,impervious,capable,the,diagnosis,abnegate,command,attend,circa,abate,agency,confuse,hospice,in,alone,of,Bodhisattva, 
immense,complete,cryogenic,per,capacious,there,gnome,nefarious,demand,attenuation,circumflex,abated,agenda,diffuse,hospitable,and,anon,off,essence
isometric,expletive,degenerate,percent,capacity,thereabout,agnostic,negate,emancipate,contend,circumnavigate,,agent,diffusion,hospital,increasingly,atone,,essential
meal,implement,engender,percussion,capiche,this,ignoble,neglect,manage,detention,circumscribe,,agile,effuse,hospitality,incite,once,,is
menopause,nonplus,eugenics,perennial,caption,that,ignorant,negligee,mandate,extend,circumspect,,agitation,effusion,host,increase,one,,present 
menstruate,plebe,gender,perfect,captivate,,ignore,negotiate,manege,attenuate,circumstance,adage,agony,effusive,hostage,inciting,onion,,quintessential
meter,plebeian,genealogy,perform,captor,,physiognomy,neither,maneuver,distend,circus,,,funnel,hostel,incumbent,lone,,represent
metronome,plebiscite,general,perfume,capture,,prognosis,neuter,manicure,extenuate,cirque,add,anagogical,fuse ,hostile,industry,lonely,,yes
pentameter,compliment,congenital,perfunctory,captive,,ignorance,never,manipulation,hypotenuse,circadian,adjective,antagonize,fusible,hostility,,non-,,presently
perimeter,comply,gene,perhaps,incapacity,,ignored,none,manner,intend,circle,adore,apagoge,fusion,,inflict,none,,
commensurate,depletion,generate,perish,captivating,,,renegade,commando,lieutenant,circuit,adorn,coagulate,futile,,,not,,
diameter,plenty,generation,perjury,,,,renege,manifest,ostensible,circumcision,adult,demagogue,futility,,ingest,atoned,,
dimension,plethora,generic,permanent,,,,negotiating,manual,portend,circumference,adverb,pedagogy,infuse,,instantly,,,
geometry,plural,generous,permeate,,,,,manufacture,pretend,circumnavigating,advertise,protagonist,perfuse,,,,,
parameter,plus,genesis,permit,,,,,manure,tenable,,adorned,synagogue,profuse,,inn,,,
piecemeal,replenish,genial,pernicious,,,,,manuscript,tenacious,,added,antagonism,refund,,innate,,,
semester,replete,genital,perpendicular,,,,,remand,tenacity,,,agonized,refuse,,inner,,,
symmetry,supply,genitive,perpetual,,,,,managed,tenant,,,,transfuse,,innuendo,,,
thermometer,surplus,genius,perplex,,,,,manifested,tend,,,,transfusion,,,,,
trigonometry,,genocide,persecute,,,,,manufactured,tendency,,,,confusion,,insignia,,,
trimester,,genotype,persevere,,,,,demanded,tender,,,,diffused,,instant,,,
,,genre,perspective,,,,,,tendon,,,,refunds,,,,,
,,gent,perspire,,,,,,tendril,,,,confused,,,,,
,,genteel,persuasion,,,,,,tenement,,,,,,interim,,,
,,gentile,pertain,,,,,,tenet,,,,,,interior,,,
,,gentle,peruse,,,,,,tennis,,,,,,intern,,,
,,gentry,pervade,,,,,,tenon,,,,,,internal,,,
,,genuine,pervert,,,,,,tenor,,,,,,intestine,,,
,,genus,perfumed,,,,,,tense,,,,,,intimate,,,
,,heterogeneous,perplexed,,,,,,tension,,,,,,,,,
,,homogeneous,permanently,,,,,,tensor,,,,,,intricate,,,
,,homogenize,performed,,,,,,tent,,,,,,intrinsic,,,
,,homogenous,,,,,,,tenuous,,,,,,,,,
,,indigenous,,,,,,,tenure,,,,,,introduce,,,
,,ingenious,,,,,,,attended,,,,,,introduction,,,
,,ingenuous,,,,,,,,,,,,,,,,
,,photogenic,,,,,,,,,,,,,introspect,,,
,,progenitor,,,,,,,,,,,,,invert,,,
,,progeny,,,,,,,,,,,,,,,,
